account,sale_month,gained_locations,lost_locations,net_location_change
POLK,2025-01-01 00:00:00,0,133,-133
LINN,2025-01-01 00:00:00,0,48,-48
BLACK HAWK,2025-01-01 00:00:00,0,37,-37
WOODBURY,2025-01-01 00:00:00,0,34,-34
JOHNSON,2025-01-01 00:00:00,0,34,-34
SCOTT,2025-01-01 00:00:00,0,32,-32
POTTAWATTAMIE,2025-01-01 00:00:00,0,27,-27
DUBUQUE,2025-01-01 00:00:00,0,21,-21
STORY,2025-01-01 00:00:00,0,19,-19
MUSCATINE,2025-01-01 00:00:00,0,13,-13
CERRO GORDO,2025-01-01 00:00:00,0,12,-12
DES MOINES,2025-01-01 00:00:00,0,12,-12
WARREN,2025-01-01 00:00:00,0,10,-10
LEE,2025-01-01 00:00:00,0,10,-10
BENTON,2025-01-01 00:00:00,0,10,-10
CLINTON,2025-01-01 00:00:00,0,10,-10
SIOUX,2025-01-01 00:00:00,0,10,-10
DALLAS,2025-01-01 00:00:00,0,10,-10
JASPER,2025-01-01 00:00:00,0,9,-9
WAPELLO,2025-01-01 00:00:00,0,9,-9
MARSHALL,2025-01-01 00:00:00,0,9,-9
IOWA,2025-01-01 00:00:00,0,8,-8
O'BRIEN,2025-01-01 00:00:00,0,7,-7
POWESHIEK,2025-01-01 00:00:00,0,7,-7
WEBSTER,2025-01-01 00:00:00,0,7,-7
MARION,2025-01-01 00:00:00,0,6,-6
HARDIN,2025-01-01 00:00:00,0,6,-6
KOSSUTH,2025-01-01 00:00:00,0,6,-6
FAYETTE,2025-01-01 00:00:00,0,5,-5
JACKSON,2025-01-01 00:00:00,0,5,-5
PLYMOUTH,2025-01-01 00:00:00,0,5,-5
BOONE,2025-01-01 00:00:00,0,5,-5
CARROLL,2025-01-01 00:00:00,0,5,-5
DICKINSON,2025-01-01 00:00:00,0,5,-5
BUCHANAN,2025-01-01 00:00:00,0,5,-5
WASHINGTON,2025-01-01 00:00:00,0,5,-5
CEDAR,2025-01-01 00:00:00,0,4,-4
CALHOUN,2025-01-01 00:00:00,0,4,-4
LYON,2025-01-01 00:00:00,0,4,-4
UNION,2025-01-01 00:00:00,0,4,-4
MILLS,2025-01-01 00:00:00,0,4,-4
JONES,2025-01-01 00:00:00,0,4,-4
HARRISON,2025-01-01 00:00:00,0,4,-4
CLAY,2025-01-01 00:00:00,0,4,-4
HAMILTON,2025-01-01 00:00:00,0,4,-4
BREMER,2025-01-01 00:00:00,0,4,-4
FLOYD,2025-01-01 00:00:00,0,3,-3
MADISON,2025-01-01 00:00:00,0,3,-3
MONONA,2025-01-01 00:00:00,0,3,-3
WINNESHIEK,2025-01-01 00:00:00,0,3,-3
PAGE,2025-01-01 00:00:00,0,3,-3
ALLAMAKEE,2025-01-01 00:00:00,0,3,-3
ADAIR,2025-01-01 00:00:00,0,3,-3
JEFFERSON,2025-01-01 00:00:00,0,3,-3
SHELBY,2025-01-01 00:00:00,0,3,-3
MAHASKA,2025-01-01 00:00:00,0,3,-3
APPANOOSE,2025-01-01 00:00:00,0,3,-3
IDA,2025-01-01 00:00:00,0,3,-3
BUENA VISTA,2025-01-01 00:00:00,0,3,-3
CLARKE,2025-01-01 00:00:00,0,2,-2
WORTH,2025-01-01 00:00:00,0,2,-2
WRIGHT,2025-01-01 00:00:00,0,2,-2
CLAYTON,2025-01-01 00:00:00,0,2,-2
HENRY,2025-01-01 00:00:00,0,2,-2
WINNEBAGO,2025-01-01 00:00:00,0,2,-2
GUTHRIE,2025-01-01 00:00:00,0,2,-2
GRUNDY,2025-01-01 00:00:00,0,2,-2
EMMET,2025-01-01 00:00:00,0,2,-2
LUCAS,2025-01-01 00:00:00,0,2,-2
POCAHONTAS,2025-01-01 00:00:00,0,2,-2
DELAWARE,2025-01-01 00:00:00,0,2,-2
AUDUBON,2025-01-01 00:00:00,0,2,-2
CHEROKEE,2025-01-01 00:00:00,0,2,-2
CHICKASAW,2025-01-01 00:00:00,0,2,-2
WAYNE,2025-01-01 00:00:00,0,2,-2
BUTLER,2025-01-01 00:00:00,0,2,-2
HOWARD,2025-01-01 00:00:00,0,2,-2
TAMA,2025-01-01 00:00:00,0,2,-2
SAC,2025-01-01 00:00:00,0,2,-2
MONROE,2025-01-01 00:00:00,0,1,-1
FRANKLIN,2025-01-01 00:00:00,0,1,-1
HUMBOLDT,2025-01-01 00:00:00,0,1,-1
VAN BUREN,2025-01-01 00:00:00,0,1,-1
CRAWFORD,2025-01-01 00:00:00,0,1,-1
MITCHELL,2025-01-01 00:00:00,0,1,-1
ADAMS,2025-01-01 00:00:00,0,1,-1
MONTGOMERY,2025-01-01 00:00:00,0,1,-1
PALO ALTO,2025-01-01 00:00:00,0,1,-1
KEOKUK,2025-01-01 00:00:00,0,1,-1
FREMONT,2025-01-01 00:00:00,0,1,-1
GREENE,2025-01-01 00:00:00,0,1,-1
