issue_type,invoice_item_id,sale_date,store_id,store_name,county,item_id,item_description,volume_liters,sale_dollars,issue_detail
duplicate_store_name_multiple_ids,,,,OASIS,,,,,,2
duplicate_store_name_multiple_ids,,,,SUPER QUICK MART / WINDSOR HEIGHTS,,,,,,2
duplicate_store_name_multiple_ids,,,,STAR CONVENIENCE / FORT DODGE,,,,,,2
duplicate_store_name_multiple_ids,,,,PRIME MART / WATERLOO,,,,,,2
duplicate_store_name_multiple_ids,,,,HAPPY'S WINE & SPIRITS WHOLESALE,,,,,,2
duplicate_store_name_multiple_ids,,,,MEGA SAVER / COUNCIL BLUFFS,,,,,,3
duplicate_store_name_multiple_ids,,,,THE LIQUOR STOP / SUMNER,,,,,,2
duplicate_store_name_multiple_ids,,,,QUICK STOP / CEDAR RAPIDS,,,,,,2
duplicate_store_name_multiple_ids,,,,AVENUE G STORE / COUNCIL BLUFFS,,,,,,2
duplicate_store_name_multiple_ids,,,,PRIME MART / CEDAR FALLS,,,,,,2
duplicate_store_name_multiple_ids,,,,HIWAY 20 LIQUOR AND TOBACCO / FORT DODGE,,,,,,2
duplicate_store_name_multiple_ids,,,,HOMETOWN MARKET / CENTRAL CITY,,,,,,2
duplicate_store_name_multiple_ids,,,,SPEEDY GAS N SHOP / COUNCIL BLUFFS,,,,,,2
duplicate_store_name_multiple_ids,,,,CRESTON LIQUORS / CRESTON,,,,,,2
duplicate_store_name_multiple_ids,,,,HAWKS SMOKE SHOP / MARION,,,,,,2
duplicate_store_name_multiple_ids,,,,SUPER MART / OELWEIN,,,,,,2
duplicate_store_name_multiple_ids,,,,CROSSROADS / HAMPTON,,,,,,2
duplicate_store_name_multiple_ids,,,,RANDY'S NEIGHBORHOOD MARKET,,,,,,2
duplicate_store_name_multiple_ids,,,,HAWKEYE LIQUOR & TOBACCO / IOWA CITY,,,,,,2
duplicate_store_name_multiple_ids,,,,BEER ON FLOYD / SIOUX CITY,,,,,,2
null_key_field,INV-62967600002,2023-10-05,10270,LIQUOR LOVERS  / ANKENY,,77683,SMIRNOFF KISSED CARAMEL,1.5,24.76,county
null_key_field,INV-57085100071,2023-03-30,10183,CROWN LIQUOR & SMOKE / IOWA CITY,,84224,99 LEMON LIME MINI,0.1,15.48,county
null_key_field,INV-57048900154,2023-03-29,10183,CROWN LIQUOR & SMOKE / IOWA CITY,,39322,DEEP EDDY LIME FLAVORED VODKA,1.5,27.0,county
null_key_field,INV-74396700007,2024-09-18,5181,"CASEY'S GENERAL STORE #3434  /  DENV",,26821,"JACK DANIELS OLD #7 BLACK LABEL MINI",1.2,414.0,county
null_key_field,INV-57048900220,2023-03-29,10183,CROWN LIQUOR & SMOKE / IOWA CITY,,64572,CIROC PINEAPPLE,1.12,41.64,county
null_key_field,INV-57065500082,2023-03-29,10183,CROWN LIQUOR & SMOKE / IOWA CITY,,19475,MAKERS MARK REPLICA,0.75,28.0,county
null_key_field,INV-57065500150,2023-03-29,10183,CROWN LIQUOR & SMOKE / IOWA CITY,,5014,GLENFIDDICH 15YR SOLERA RESERVA,0.75,57.75,county
null_key_field,INV-57085300066,2023-03-30,10183,CROWN LIQUOR & SMOKE / IOWA CITY,,88367,CINCORO BLANCO TEQUILA,0.75,67.5,county
