account,sale_month,driver_type,driver_key,delta_volume,driver_bucket
ADAIR,2024-12-01,category,AMERICAN VODKAS,-2.12,top_driver
ADAIR,2024-12-01,category,TENNESSEE WHISKIES,1.12,top_driver
ADAIR,2024-12-01,category,NEUTRAL GRAIN SPIRITS FLAVORED,0.25,top_driver
ADAIR,2024-12-01,item,"JACK DANIELS OLD #7 BLACK LABEL FLAT",0.75,top_driver
ADAIR,2024-12-01,item,TITOS HANDMADE VODKA MINI,0.3,top_driver
ADAIR,2024-12-01,store,"KUM & GO #76 / ADAIR",1.9200000000000002,top_driver
ADAIR,2024-12-01,store,"CASEY'S GENERAL STORE #2521 / ADAIR",0.25,top_driver
ADAIR,2024-12-01,store,"CASEY'S #2654 / STUART",-0.04999999999999999,top_driver
ADAMS,2024-12-01,category,SINGLE MALT SCOTCH,0.0,top_driver
ADAMS,2024-12-01,store,HY-VEE FOOD STORE / CORNING,-1.0,top_driver
ALLAMAKEE,2024-12-01,category,WHISKEY LIQUEUR,1.0,top_driver
ALLAMAKEE,2024-12-01,category,BLENDED WHISKIES,0.75,top_driver
ALLAMAKEE,2024-12-01,category,CREAM LIQUEURS,0.7,top_driver
ALLAMAKEE,2024-12-01,category,NEUTRAL GRAIN SPIRITS FLAVORED,-0.35000000000000003,top_driver
ALLAMAKEE,2024-12-01,category,CANADIAN WHISKIES,0.2,top_driver
ALLAMAKEE,2024-12-01,store,"CASEY'S GENERAL STORE #3639 / POSTVILLE",1.4,top_driver
ALLAMAKEE,2024-12-01,store,DOUBLE D LIQUOR STORE / WAUKON,-1.25,top_driver
ALLAMAKEE,2024-12-01,store,QUILLINS FOOD RANCH / WAUKON,0.4,top_driver
APPANOOSE,2024-12-01,category,AMERICAN VODKAS,-30.75,top_driver
APPANOOSE,2024-12-01,category,AMERICAN SCHNAPPS,-0.10000000000000002,top_driver
APPANOOSE,2024-12-01,category,NEUTRAL GRAIN SPIRITS FLAVORED,0.0,top_driver
APPANOOSE,2024-12-01,store,QUICK SHOP FOODS / CENTERVILLE,-1.4700000000000002,top_driver
APPANOOSE,2024-12-01,store,"CASEY'S GENERAL STORE #3772",-0.45,top_driver
APPANOOSE,2024-12-01,store,"FAREWAY STORES #827 / CENTERVILLE",0.0,top_driver
AUDUBON,2024-12-01,category,TENNESSEE WHISKIES,0.75,top_driver
AUDUBON,2024-12-01,category,AMERICAN FLAVORED VODKA,0.0,top_driver
AUDUBON,2024-12-01,category,IMPORTED SCHNAPPS,0.0,top_driver
AUDUBON,2024-12-01,item,DR MCGILLICUDDYS CHERRY,0.0,top_driver
AUDUBON,2024-12-01,store,AUDUBON FOOD LAND,4.0,top_driver
AUDUBON,2024-12-01,store,"CASEY'S GENERAL STORE #27  /  AUDUBO",0.65,top_driver
BENTON,2024-12-01,category,AMERICAN BRANDIES,-3.25,top_detractor
BENTON,2024-12-01,category,CANADIAN WHISKIES,31.0,top_driver
BENTON,2024-12-01,category,TENNESSEE WHISKIES,-1.55,top_driver
BENTON,2024-12-01,category,TEMPORARY & SPECIALTY PACKAGES,1.0,top_driver
BENTON,2024-12-01,category,STRAIGHT BOURBON WHISKIES,-0.75,top_driver
BENTON,2024-12-01,category,NEUTRAL GRAIN SPIRITS FLAVORED,-0.7,top_driver
BENTON,2024-12-01,category,IMPORTED SCHNAPPS,0.6,top_driver
BENTON,2024-12-01,category,AMERICAN FLAVORED VODKA,-0.38,top_driver
BENTON,2024-12-01,category,100% AGAVE TEQUILA,0.25,top_driver
BENTON,2024-12-01,category,AMERICAN SCHNAPPS,0.0,top_driver
BENTON,2024-12-01,category,AMERICAN CORDIALS & LIQUEURS,0.0,top_driver
BENTON,2024-12-01,item,BLACK VELVET,-73.5,top_driver
BENTON,2024-12-01,item,HORNITOS PLATA,-3.0,top_driver
BENTON,2024-12-01,item,KNOB CREEK,-0.75,top_driver
BENTON,2024-12-01,item,UV BLUE RASPBERRY,-0.63,top_driver
BENTON,2024-12-01,item,CANADIAN CLUB WHISKY,0.0,top_driver
BENTON,2024-12-01,item,RUMPLE MINZE PEPPERMINT SCHNAPPS LIQUEUR,0.0,top_driver
BENTON,2024-12-01,item,EARLY TIMES BOTTLED IN BOND,0.0,top_driver
BENTON,2024-12-01,store,"FAREWAY STORES #462 / VINTON",-104.75,top_driver
BENTON,2024-12-01,store,"CASEY'S GENERAL STORE #2845 / URBANA",31.25,top_driver
BENTON,2024-12-01,store,GRIEDER BEVERAGE DEPOT,-1.13,top_driver
BENTON,2024-12-01,store,SHELLSBURG QUICK STOP / SHELLSBURG,0.95,top_driver
BENTON,2024-12-01,store,EHLINGER'S VINTON EXPRESS,-0.7999999999999998,top_driver
BENTON,2024-12-01,store,THE DEPOT ATKINS,-0.30000000000000004,top_driver
BENTON,2024-12-01,store,"CASEY'S GENERAL STORE #3717 / VINTON",-0.25,top_driver
BENTON,2024-12-01,store,DEPOT NORWAY,0.0,top_driver
BENTON,2024-12-01,store,ROY'S FOODLAND,0.0,top_driver
BENTON,2024-12-01,store,THE DEPOT WALFORD LLC / WALFORD,0.0,top_driver
BLACK HAWK,2024-12-01,category,AMERICAN VODKAS,-1020.6499999999997,top_detractor
BLACK HAWK,2024-12-01,category,AMERICAN FLAVORED VODKA,-51.85,top_detractor
BLACK HAWK,2024-12-01,category,CREAM LIQUEURS,-13.1,top_detractor
